# ombh2, omcdmh2, w0, ns, sigma_8, H0, N_eff
2.096096e-02 1.224634e-01 -1.139198e+00 9.300325e-01 8.538240e-01 6.895004e+01  3.046
2.169908e-02 1.096392e-01 -7.647829e-01 9.823038e-01 7.192845e-01 6.299374e+01  3.046
2.230419e-02 1.139937e-01 -1.083356e+00 9.704725e-01 8.510273e-01 7.228562e+01  3.046
2.226266e-02 1.221573e-01 -9.824886e-01 9.754183e-01 8.581189e-01 6.621955e+01  3.046
2.284147e-02 1.240096e-01 -1.221581e+00 9.544018e-01 8.887367e-01 7.420830e+01  3.046
2.183059e-02 1.284267e-01 -1.289901e+00 9.541059e-01 9.129306e-01 7.152358e+01  3.046
2.166699e-02 1.114661e-01 -9.692914e-01 9.603143e-01 7.682739e-01 6.860432e+01  3.046
2.322985e-02 1.063219e-01 -7.878830e-01 9.873686e-01 7.335818e-01 6.666885e+01  3.046
2.230025e-02 1.100992e-01 -7.959591e-01 9.571653e-01 6.915643e-01 6.584599e+01  3.046
2.217813e-02 1.263351e-01 -1.235559e+00 9.311599e-01 8.902420e-01 7.266959e+01  3.046
2.197389e-02 1.231819e-01 -9.954346e-01 9.609945e-01 8.304276e-01 6.703401e+01  3.046
2.138569e-02 1.183536e-01 -1.160549e+00 9.628348e-01 8.508056e-01 7.215313e+01  3.046
2.228398e-02 1.109358e-01 -8.273852e-01 9.897832e-01 7.777957e-01 6.519518e+01  3.046
2.220027e-02 1.131020e-01 -7.922471e-01 9.763257e-01 7.759568e-01 6.407216e+01  3.046
2.203930e-02 1.282414e-01 -1.370350e+00 9.710729e-01 9.986873e-01 7.479261e+01  3.046
2.248968e-02 1.100714e-01 -8.901921e-01 9.764701e-01 7.319315e-01 6.736219e+01  3.046
2.251349e-02 1.147213e-01 -9.986879e-01 9.693750e-01 8.348669e-01 7.090721e+01  3.046
2.179096e-02 1.100423e-01 -7.448834e-01 9.500370e-01 7.140871e-01 6.208498e+01  3.046
2.327134e-02 1.180175e-01 -9.340560e-01 9.700309e-01 8.307625e-01 6.787471e+01  3.046
2.286743e-02 1.197647e-01 -1.035211e+00 9.548746e-01 8.489078e-01 7.103927e+01  3.046
2.311672e-02 1.120463e-01 -7.424123e-01 9.668968e-01 7.395464e-01 6.450172e+01  3.046
2.315686e-02 1.218083e-01 -1.024898e+00 9.754329e-01 8.472509e-01 6.827622e+01  3.046
2.132885e-02 1.272434e-01 -1.299795e+00 9.369286e-01 9.232114e-01 7.327132e+01  3.046
2.220226e-02 1.175278e-01 -7.964633e-01 9.649823e-01 7.698819e-01 6.274818e+01  3.046
2.280769e-02 1.240340e-01 -1.243714e+00 9.662073e-01 9.378623e-01 7.385640e+01  3.046
2.280912e-02 1.162445e-01 -7.543212e-01 9.653718e-01 7.275254e-01 6.156746e+01  3.046
2.176913e-02 1.200776e-01 -1.062407e+00 9.629466e-01 8.305510e-01 6.932830e+01  3.046
2.310408e-02 1.085390e-01 -6.548324e-01 9.592352e-01 6.865864e-01 6.247385e+01  3.046
2.196019e-02 1.169219e-01 -9.406083e-01 9.367354e-01 7.947667e-01 6.548457e+01  3.046
2.085082e-02 1.248317e-01 -1.096048e+00 9.348718e-01 8.750508e-01 6.790530e+01  3.046
2.202571e-02 1.139401e-01 -8.703522e-01 9.563898e-01 7.350578e-01 6.461942e+01  3.046
2.215825e-02 1.227873e-01 -1.138622e+00 9.769342e-01 8.904888e-01 6.979006e+01  3.046
2.338102e-02 1.044778e-01 -6.612194e-01 9.835354e-01 6.466325e-01 6.333729e+01  3.046
2.266992e-02 1.147690e-01 -8.656196e-01 9.823772e-01 7.435640e-01 6.611561e+01  3.046
2.168663e-02 1.297578e-01 -1.222170e+00 9.413438e-01 9.055618e-01 7.012405e+01  3.046
2.134239e-02 1.321910e-01 -1.349742e+00 9.622672e-01 9.785979e-01 7.323189e+01  3.046
2.349378e-02 1.151458e-01 -7.619610e-01 9.628605e-01 7.379684e-01 6.377189e+01  3.046
2.256500e-02 1.130902e-01 -1.042555e+00 9.730763e-01 8.250021e-01 7.054661e+01  3.046
2.202480e-02 1.184395e-01 -1.196158e+00 9.507121e-01 8.858692e-01 7.451871e+01  3.046
2.190175e-02 1.197504e-01 -1.160824e+00 9.532488e-01 8.814373e-01 7.186920e+01  3.046
